Subject / Topic,Complexity (1-10),Relevance (1-10),Study Time (mins),Learning Method,Stress Level,Sleep Hours,Recall Score (1hr),Recall Score (1day),Recall Score (1week),Days Since Learning,Forgetfulness Probability (%)
AI Narratives - Workshop,6,7,88,Text,4,8.0,10.0,9.8,9.0,8,6.3
Behavioral Economics - Intro,8,5,109,Text,5,8.7,10.0,10.0,8.9,20,11.8
Behavioral Neuroscience - Advanced,4,5,73,Practical,5,7.5,10.0,10.0,8.8,14,9.6
Dream Analysis - Concepts,4,6,70,Video,5,7.6,10.0,10.0,9.6,13,0.0
Political Philosophy - Advanced,8,7,115,Video,6,7.8,10.0,9.8,8.5,26,14.0
Geospatial Analysis - Applications,4,5,72,Audio,1,8.7,10.0,10.0,9.4,25,1.6
Evolutionary Biology - Theory,9,7,119,Text,8,6.7,10.0,9.9,9.0,23,1.0
Bioinformatics - Theory,9,7,119,Text,7,7.9,10.0,8.6,7.7,19,19.7
Holographic Computing - Applications,7,8,101,Text,10,6.0,10.0,9.3,8.2,11,20.8
Bioinformatics - Theory,3,5,61,Video,3,8.5,10.0,9.7,8.9,28,8.5
Quantum Entanglement - Intro,4,8,74,Practical,5,7.6,10.0,9.9,8.7,9,10.1
Digital Archaeology - Lab,7,9,100,Practical,7,7.1,10.0,9.4,8.6,17,12.5
Remote Sensing - Theory,9,9,119,Video,9,6.9,10.0,9.5,8.2,20,12.2
Metallurgy - Theory,5,8,79,Text,7,7.4,10.0,9.0,8.0,18,15.0
Phonetics - Workshop,3,9,57,Text,3,8.3,10.0,10.0,8.9,15,9.7
Speech Recognition - Theory,8,8,118,Video,5,7.9,10.0,10.0,8.7,20,14.4
Quantum Entanglement - Applications,5,6,75,Practical,7,7.9,10.0,10.0,9.1,16,0.0
Behavioral Neuroscience - Theory,6,7,83,Practical,5,7.9,10.0,10.0,8.3,28,13.8
Behavioral Neuroscience - Intro,6,6,94,Text,7,7.4,10.0,10.0,9.1,11,1.8
Compiler Design - Workshop,3,5,62,Text,3,8.2,10.0,9.6,8.5,21,14.4
Game Development - Intro,4,6,80,Text,1,9.0,10.0,9.3,7.8,24,29.2
Urban Planning - Concepts,3,6,59,Practical,7,6.9,10.0,9.9,8.7,22,9.6
Alien Anthropology - Workshop,4,9,69,Video,8,7.8,10.0,9.9,8.6,12,11.2
Syntax and Semantics - Lab,8,8,105,Video,9,6.7,10.0,9.7,8.8,27,15.1
Alien Anthropology - Intro,6,5,90,Practical,3,8.4,10.0,10.0,9.6,25,9.4
Phonetics - Applications,9,9,111,Practical,10,7.1,10.0,10.0,9.2,16,6.6
Internet of Things - Theory,9,5,110,Video,7,7.8,10.0,10.0,9.0,9,15.9
Psychoacoustics - Concepts,3,7,57,Text,3,9.0,10.0,10.0,9.2,22,0.0
Zero-Gravity Engineering - Applications,3,8,60,Text,4,8.7,10.0,10.0,9.0,23,18.6
Metallurgy - Lab,8,9,107,Text,8,6.8,10.0,9.9,9.3,10,10.0
Interstellar Politics - Lab,9,6,117,Audio,6,7.4,9.1,9.1,8.1,15,12.7
UX Design - Intro,4,7,62,Video,6,7.8,10.0,10.0,9.2,10,0.9
UX Design - Advanced,6,6,93,Video,7,7.2,10.0,10.0,9.5,27,1.9
Alien Anthropology - Theory,6,5,86,Text,4,8.8,10.0,9.9,8.9,11,12.3
Urban Planning - Workshop,4,7,78,Practical,5,7.5,10.0,9.6,8.6,10,21.5
Visual Perception - Advanced,8,9,109,Video,8,7.0,10.0,10.0,9.1,10,7.6
Phonetics - Lab,4,6,64,Text,6,7.5,10.0,10.0,9.3,29,7.9
Marine Biology - Theory,8,6,98,Audio,7,7.2,7.6,7.4,6.7,22,39.4
Ethical Hacking - Theory,4,5,63,Practical,6,7.7,10.0,10.0,8.6,18,11.6
Computational Linguistics - Intro,6,5,89,Video,4,8.1,10.0,10.0,8.8,29,14.7
Climate Modeling - Applications,6,8,78,Text,6,7.5,10.0,10.0,9.2,12,10.9
Syntax and Semantics - Workshop,3,8,56,Text,6,7.1,10.0,9.2,8.4,25,12.5
Dream Analysis - Advanced,9,5,117,Text,8,7.1,10.0,10.0,9.3,12,13.9
Philosophy of Mind - Advanced,9,8,116,Practical,7,7.0,10.0,10.0,9.0,20,7.1
Dream Analysis - Concepts,8,6,107,Audio,6,7.3,10.0,9.7,8.3,15,18.6
Antimatter - Workshop,6,5,87,Video,3,8.5,10.0,10.0,8.9,9,11.7
Bioinformatics - Applications,8,7,106,Practical,3,8.7,10.0,10.0,8.7,29,6.8
Alien Anthropology - Applications,8,5,117,Practical,5,8.9,10.0,10.0,9.4,17,0.0
Evolutionary Biology - Applications,5,9,76,Video,6,7.4,10.0,9.5,8.7,27,25.8
Photosynthesis - Applications,5,9,66,Audio,6,8.1,10.0,10.0,8.9,13,13.2
Sustainable Agriculture - Intro,4,5,61,Video,2,8.8,10.0,10.0,9.7,17,11.2
Internet of Things - Advanced,9,7,123,Video,9,7.5,10.0,9.9,9.1,24,13.1
Agile Methodologies - Lab,8,5,112,Practical,7,8.4,10.0,10.0,9.3,25,8.3
Relativity Theory - Intro,4,7,67,Video,5,7.5,10.0,10.0,8.6,24,15.9
Visual Perception - Applications,4,6,62,Text,3,8.7,10.0,10.0,8.7,29,20.6
Ancient Civilizations - Advanced,3,6,63,Video,3,8.8,10.0,9.7,8.6,21,14.3
3D Animation - Workshop,5,7,72,Practical,5,8.7,10.0,9.9,8.9,25,9.3
Molecular Biology - Advanced,5,8,81,Practical,8,6.6,10.0,9.2,8.0,22,24.5
Ancient Civilizations - Theory,6,6,87,Audio,3,9.0,10.0,10.0,9.1,13,2.4
Creative Writing - Applications,5,9,82,Video,5,8.0,10.0,10.0,8.7,16,15.4
Behavioral Economics - Concepts,6,5,87,Video,5,7.1,10.0,10.0,9.3,29,12.4
Pharmacology - Theory,8,8,117,Video,9,6.8,10.0,9.5,8.8,25,6.0
Synthetic Biology - Advanced,3,9,50,Video,3,8.9,10.0,10.0,9.0,17,16.0
Cognitive Robotics - Intro,4,5,72,Text,3,9.0,10.0,9.5,8.4,11,7.7
Phonetics - Workshop,4,9,68,Video,1,9.0,10.0,10.0,8.6,12,8.3
Game Development - Theory,8,8,106,Audio,10,6.5,10.0,9.7,8.9,27,12.6
Moral Philosophy - Theory,6,7,96,Audio,4,7.4,10.0,10.0,9.0,14,22.1
Pharmacology - Intro,7,5,94,Audio,6,7.9,10.0,10.0,9.0,15,2.8
Quantum Computing - Theory,8,9,111,Practical,10,6.2,10.0,9.6,8.8,18,12.4
Immunology - Concepts,6,9,90,Video,10,6.4,10.0,10.0,8.8,12,8.1
3D Animation - Intro,8,8,103,Video,4,8.7,10.0,10.0,9.3,17,9.7
Biomechanics - Lab,3,8,64,Practical,7,7.7,10.0,10.0,9.0,8,13.2
Evolutionary Biology - Advanced,8,8,120,Video,9,7.0,10.0,10.0,8.9,8,5.6
Financial Markets - Advanced,8,7,118,Text,9,6.4,10.0,9.3,8.2,26,19.9
Quantum Computing - Lab,5,6,81,Video,1,8.5,10.0,10.0,8.9,9,15.2
AI Narratives - Workshop,6,9,88,Video,6,7.3,10.0,10.0,9.4,13,15.6
Zero-Gravity Engineering - Applications,3,7,64,Video,1,8.6,10.0,10.0,8.7,18,11.8
Speech Recognition - Workshop,9,9,124,Audio,8,7.6,10.0,9.7,8.7,10,23.2
Psychoacoustics - Workshop,4,7,70,Practical,7,7.5,10.0,9.5,9.0,25,7.0
Marine Biology - Workshop,7,5,88,Audio,9,7.7,10.0,9.9,9.2,24,11.5
Logic Circuits - Concepts,7,6,92,Video,8,7.3,10.0,9.7,9.1,10,4.1
Alien Anthropology - Applications,6,9,92,Text,8,7.8,10.0,9.4,8.7,21,15.8
Cultural Studies - Intro,8,8,111,Video,6,7.9,10.0,10.0,9.1,11,0.0
Moral Philosophy - Lab,5,6,77,Text,4,8.9,10.0,9.5,9.2,10,9.4
Zero-Gravity Engineering - Concepts,8,9,111,Video,9,6.8,10.0,9.0,7.8,15,31.8
Quantum Computing - Advanced,6,5,82,Audio,5,8.6,9.9,9.8,8.4,22,14.0
Cellular Automata - Concepts,7,9,99,Video,9,7.2,10.0,10.0,8.7,23,18.4
Computational Linguistics - Advanced,7,9,98,Practical,7,6.7,10.0,9.6,9.0,15,6.6
Educational Psychology - Applications,8,9,100,Video,10,6.9,10.0,9.7,8.5,20,23.8
Game Development - Applications,8,6,110,Video,8,7.4,10.0,10.0,8.7,21,8.0
Photosynthesis - Intro,8,9,102,Video,6,6.7,10.0,10.0,8.4,30,16.4
Immunology - Advanced,4,8,74,Practical,7,7.3,10.0,9.8,9.2,19,5.5
Agile Methodologies - Intro,5,7,81,Practical,6,8.2,10.0,10.0,8.8,9,16.7
Cognitive Robotics - Advanced,5,8,76,Practical,5,6.9,10.0,10.0,9.1,15,6.3
Mathematical Music Theory - Concepts,9,5,114,Practical,10,6.8,10.0,10.0,8.9,8,9.7
Logic Circuits - Advanced,9,6,113,Practical,8,7.3,10.0,10.0,9.2,25,0.0
Alien Anthropology - Concepts,7,7,97,Audio,7,7.4,10.0,10.0,8.9,30,12.0
Interstellar Politics - Concepts,7,6,103,Video,8,8.7,10.0,10.0,8.4,29,17.2
Compiler Design - Workshop,6,6,88,Text,7,7.8,10.0,9.0,8.2,24,16.0
Sustainable Agriculture - Workshop,6,9,89,Practical,9,6.5,10.0,10.0,9.4,24,0.0
Compiler Design - Workshop,9,8,114,Audio,6,7.6,10.0,10.0,9.2,23,5.1
Nanorobotics - Advanced,4,7,67,Practical,8,7.6,10.0,10.0,8.8,15,14.4
Digital Marketing - Theory,7,9,98,Video,8,7.4,10.0,10.0,8.8,10,3.6
Climate Modeling - Theory,6,7,90,Practical,6,7.6,10.0,10.0,9.6,17,0.0
Phonetics - Concepts,4,8,69,Audio,4,8.8,10.0,10.0,9.1,12,13.7
Compiler Design - Workshop,5,9,82,Text,5,7.5,10.0,9.2,8.0,27,19.9
Geospatial Analysis - Intro,7,7,103,Text,5,8.4,10.0,10.0,8.9,21,18.7
Creative Writing - Intro,3,9,67,Practical,5,7.8,10.0,10.0,8.9,10,9.4
Fictional Languages - Theory,7,6,101,Video,6,8.0,10.0,10.0,8.6,10,11.3
Immunology - Theory,6,5,92,Text,2,9.0,10.0,10.0,9.1,25,0.0
UX Design - Lab,7,7,97,Video,10,5.6,10.0,9.4,8.3,10,28.6
Quantum Entanglement - Theory,9,8,127,Text,9,6.6,10.0,10.0,9.3,10,7.2
Climate Modeling - Lab,3,7,57,Practical,2,7.8,10.0,10.0,8.6,29,10.9
Cognitive Robotics - Concepts,9,5,123,Text,8,7.4,10.0,9.9,9.3,21,3.0
Agile Methodologies - Concepts,7,7,97,Video,5,8.6,10.0,10.0,9.2,10,19.6
Neural Networks - Lab,9,7,119,Video,6,7.4,10.0,9.9,8.9,28,11.8
Neural Networks - Applications,6,7,90,Practical,9,7.0,10.0,9.7,8.8,28,17.4
Synthetic Biology - Advanced,5,8,70,Practical,5,8.2,10.0,9.9,8.8,21,14.1
Political Philosophy - Applications,6,5,90,Text,5,8.2,10.0,10.0,9.4,20,12.9
Urban Planning - Concepts,4,5,69,Practical,6,8.0,10.0,10.0,9.5,21,4.8
Zero-Gravity Engineering - Advanced,9,8,116,Audio,10,6.8,8.8,8.9,8.2,27,18.3
Visual Perception - Intro,6,7,84,Text,7,7.2,10.0,9.6,8.3,17,16.0
Moral Philosophy - Applications,4,7,66,Audio,2,8.7,10.0,10.0,9.6,27,10.2
Urban Planning - Lab,7,5,94,Practical,3,7.9,10.0,10.0,8.9,15,14.0
Digital Marketing - Applications,4,7,67,Audio,8,6.0,10.0,8.7,7.4,18,34.9
Pharmacology - Advanced,9,6,116,Practical,9,6.8,10.0,9.8,8.8,24,11.2
Mathematical Music Theory - Workshop,8,7,108,Video,8,8.0,10.0,9.2,8.5,28,10.2
Climate Modeling - Theory,7,7,103,Audio,5,7.5,10.0,10.0,9.2,20,11.4
Digital Archaeology - Concepts,4,9,65,Text,4,8.0,10.0,10.0,8.7,9,14.5
Zero-Gravity Engineering - Theory,9,5,117,Practical,4,8.3,10.0,10.0,9.0,26,6.9
Computational Linguistics - Concepts,9,5,120,Audio,5,7.8,10.0,10.0,9.0,12,4.0
Synthetic Biology - Theory,6,6,85,Video,6,7.7,10.0,10.0,9.0,29,11.9
Ancient Civilizations - Lab,3,6,63,Audio,7,7.6,10.0,10.0,9.0,9,0.0
Climate Modeling - Theory,7,6,95,Video,6,7.8,10.0,10.0,9.0,30,8.5
Interstellar Politics - Concepts,4,5,70,Practical,4,7.8,10.0,9.9,8.6,8,19.1
Behavioral Economics - Concepts,3,9,65,Video,7,6.9,10.0,10.0,9.2,17,8.1
Relativity Theory - Applications,9,9,115,Video,8,7.2,10.0,10.0,9.3,29,1.1
Epidemiology - Theory,4,8,66,Text,5,7.3,10.0,10.0,9.0,18,9.5
Metallurgy - Intro,4,5,67,Video,4,8.8,10.0,10.0,9.0,22,8.5
Molecular Biology - Workshop,4,8,70,Video,4,8.4,10.0,10.0,9.0,29,23.7
Visual Perception - Applications,6,7,89,Audio,7,8.0,10.0,9.3,7.7,19,34.0
Computational Linguistics - Theory,4,6,69,Video,5,8.3,10.0,9.7,8.9,22,13.5
Photosynthesis - Lab,3,8,62,Text,5,8.0,10.0,10.0,8.8,25,14.6
Interstellar Politics - Advanced,8,8,109,Text,6,8.2,10.0,10.0,9.1,8,4.1
Nanorobotics - Applications,4,5,62,Audio,6,7.7,10.0,9.7,8.5,15,9.6
Cultural Studies - Applications,8,6,116,Audio,10,6.3,10.0,9.7,8.7,29,12.8
Speech Recognition - Advanced,5,6,82,Video,6,6.9,10.0,10.0,8.9,10,12.1
Photosynthesis - Concepts,9,9,113,Video,7,7.3,10.0,10.0,8.8,17,14.0
Photosynthesis - Workshop,7,8,99,Video,4,7.9,10.0,9.8,9.0,16,5.4
Metallurgy - Concepts,6,9,93,Text,7,7.0,10.0,9.8,9.5,27,7.9
Quantum Theology - Intro,5,8,75,Video,7,7.1,10.0,10.0,8.7,13,5.9
Game Development - Concepts,5,5,84,Video,3,8.9,10.0,10.0,9.7,11,0.9
Internet of Things - Theory,3,5,55,Text,3,8.1,10.0,10.0,9.2,22,10.1
Behavioral Neuroscience - Lab,3,7,62,Video,7,6.7,10.0,9.5,8.8,13,1.2
Holographic Computing - Intro,8,8,97,Video,4,7.4,10.0,10.0,8.7,23,8.5
Fictional Languages - Lab,8,8,114,Audio,8,7.3,9.5,8.5,7.0,27,29.7
Nanorobotics - Theory,6,6,80,Audio,3,8.9,10.0,10.0,9.0,17,9.5
Creative Writing - Theory,6,6,95,Video,7,7.1,10.0,10.0,9.1,14,3.3
Mathematical Music Theory - Concepts,7,9,94,Video,9,6.6,10.0,9.6,8.8,8,6.1
Sustainable Agriculture - Lab,4,7,79,Video,5,8.4,10.0,10.0,8.9,14,12.5
Digital Archaeology - Workshop,6,5,90,Practical,6,7.6,10.0,10.0,9.4,22,0.0
Neural Networks - Applications,6,8,95,Practical,5,8.2,10.0,10.0,9.5,11,2.1
Urban Planning - Intro,8,9,109,Practical,10,6.6,10.0,9.4,8.7,14,14.8
Game Development - Lab,4,7,62,Video,6,7.2,10.0,9.6,8.7,8,11.7
Computational Linguistics - Advanced,7,6,95,Practical,6,7.9,10.0,9.8,9.5,30,4.0
Virtual Reality Ethics - Concepts,9,7,122,Text,6,7.8,10.0,10.0,8.5,27,18.8
Digital Marketing - Workshop,9,9,134,Audio,9,6.5,10.0,10.0,9.2,26,3.2
Quantum Entanglement - Advanced,3,5,67,Video,3,8.4,10.0,9.5,8.8,19,8.2
Speech Recognition - Lab,7,6,100,Text,8,6.4,10.0,10.0,8.8,18,12.2
Moral Philosophy - Lab,4,6,74,Text,8,7.5,10.0,9.9,9.3,9,3.5
Syntax and Semantics - Lab,3,5,61,Video,5,8.1,10.0,10.0,9.1,9,7.8
Quantum Entanglement - Lab,3,6,58,Text,3,8.7,10.0,10.0,8.9,30,6.8
Ethical Hacking - Lab,3,9,60,Video,8,7.1,10.0,10.0,9.3,8,4.3
Internet of Things - Intro,7,6,97,Video,5,8.2,10.0,10.0,9.0,20,13.4
Digital Archaeology - Concepts,8,8,110,Audio,8,6.3,10.0,9.2,8.1,20,15.5
Blockchain Security - Advanced,4,7,71,Text,4,9.0,10.0,10.0,9.2,9,11.5
Metallurgy - Theory,7,9,99,Audio,8,7.5,10.0,10.0,8.4,14,20.3
Digital Archaeology - Theory,7,5,97,Practical,2,9.0,10.0,10.0,9.1,17,3.6
Remote Sensing - Concepts,5,9,77,Video,4,9.0,10.0,10.0,9.0,21,14.0
Political Philosophy - Lab,6,8,88,Text,6,7.9,10.0,9.8,8.9,23,3.2
Virtual Reality Ethics - Advanced,9,6,120,Text,8,8.1,10.0,9.9,8.9,30,0.0
Educational Psychology - Lab,7,6,97,Video,6,8.8,10.0,9.8,9.0,21,15.8
Syntax and Semantics - Theory,5,9,82,Practical,8,7.8,10.0,9.4,8.0,16,20.6
Mythology - Theory,9,6,111,Text,3,8.6,10.0,10.0,8.6,13,12.8
Metallurgy - Applications,8,6,111,Audio,7,7.4,10.0,9.1,7.9,22,22.6
Relativity Theory - Intro,8,8,114,Video,10,6.3,10.0,9.7,8.7,22,7.3
Photosynthesis - Applications,4,5,78,Practical,6,8.1,10.0,10.0,9.1,24,7.9
3D Animation - Theory,5,7,79,Video,7,6.9,10.0,9.8,8.9,7,15.6
Relativity Theory - Workshop,7,9,103,Audio,9,6.7,9.6,9.2,7.5,21,34.5
Behavioral Economics - Workshop,4,5,71,Audio,2,7.8,10.0,10.0,9.1,13,9.3
Quantum Theology - Advanced,5,7,85,Text,3,8.1,10.0,9.4,9.0,14,15.9
Nanorobotics - Concepts,7,5,98,Text,5,8.0,10.0,10.0,8.5,19,11.6
Nanorobotics - Workshop,4,9,72,Text,6,8.0,10.0,10.0,9.4,7,11.3
Epidemiology - Advanced,9,8,109,Audio,8,7.6,10.0,10.0,9.3,10,6.6
Quantum Computing - Advanced,4,8,74,Video,3,8.6,10.0,10.0,9.0,9,10.2
Logic Circuits - Lab,9,8,120,Text,7,7.1,10.0,10.0,9.0,27,9.1
Remote Sensing - Lab,6,5,86,Video,7,7.1,10.0,10.0,9.0,18,4.2
Quantum Theology - Concepts,8,9,111,Text,7,7.1,10.0,10.0,9.0,23,5.0
3D Animation - Advanced,9,6,127,Text,4,9.0,10.0,10.0,9.2,25,9.3
Speech Recognition - Intro,7,6,95,Video,3,8.4,10.0,9.9,9.4,24,1.2
Blockchain Security - Concepts,6,8,85,Text,8,7.3,10.0,9.5,8.6,7,16.7
Internet of Things - Applications,4,5,61,Video,7,7.3,10.0,10.0,9.4,12,0.0
Behavioral Neuroscience - Lab,4,6,65,Video,3,8.9,10.0,9.7,8.5,12,9.6
Biomechanics - Theory,5,5,75,Video,6,7.2,10.0,9.6,8.8,21,13.7
Biomechanics - Theory,6,9,88,Text,8,6.8,10.0,10.0,9.1,30,12.5
Relativity Theory - Theory,3,8,60,Text,2,9.0,10.0,10.0,8.6,24,21.7
Neural Networks - Lab,7,7,92,Practical,8,6.8,10.0,10.0,8.9,17,8.9
Cellular Automata - Intro,8,8,111,Text,9,7.1,10.0,9.8,9.0,28,14.5
UX Design - Workshop,9,7,121,Text,7,7.7,10.0,10.0,9.1,29,7.1
Evolutionary Biology - Applications,6,6,91,Text,5,8.0,10.0,9.3,8.3,30,25.7
Forensic Science - Advanced,4,7,65,Video,5,7.9,10.0,10.0,8.8,16,7.1
Synthetic Biology - Lab,5,5,89,Text,3,8.5,10.0,10.0,9.0,13,9.2
Ancient Civilizations - Applications,7,7,103,Practical,9,7.2,10.0,9.8,9.1,20,4.6
Computational Linguistics - Applications,8,6,103,Text,6,8.0,10.0,10.0,8.7,30,16.7
Pharmacology - Advanced,9,6,112,Text,6,8.5,10.0,10.0,9.4,22,9.3
Behavioral Neuroscience - Theory,7,8,95,Audio,7,6.8,10.0,10.0,8.8,12,19.9
Sustainable Agriculture - Theory,5,6,80,Text,7,6.7,10.0,10.0,8.9,19,18.3
Holographic Computing - Lab,4,5,77,Video,4,8.1,10.0,10.0,9.0,29,9.2
Internet of Things - Lab,9,7,116,Video,7,7.3,10.0,10.0,9.3,24,1.9
Holographic Computing - Applications,8,9,102,Text,5,8.0,10.0,10.0,9.8,29,10.9
Ancient Civilizations - Theory,3,6,61,Practical,4,9.0,10.0,10.0,9.5,7,8.7
Psychoacoustics - Applications,5,7,77,Video,5,8.2,10.0,10.0,8.9,17,12.4
Computational Linguistics - Advanced,3,8,60,Video,3,8.7,10.0,10.0,8.9,10,8.1
Relativity Theory - Advanced,6,9,89,Video,8,6.8,10.0,10.0,8.5,16,11.0
Forensic Science - Concepts,7,8,98,Text,5,7.9,10.0,10.0,9.0,9,11.2
Cellular Automata - Intro,8,5,115,Audio,5,8.1,10.0,10.0,9.0,21,13.0
Dream Analysis - Lab,4,8,72,Video,6,7.6,10.0,10.0,9.2,26,13.5
Immunology - Lab,3,7,61,Practical,5,8.1,10.0,10.0,9.1,11,15.9
Evolutionary Biology - Theory,4,9,59,Video,6,7.9,10.0,10.0,9.0,22,11.1
Psychoacoustics - Lab,6,8,88,Practical,6,8.2,10.0,9.7,8.2,16,16.3
Political Philosophy - Applications,3,8,64,Text,4,8.8,10.0,10.0,8.9,22,21.0
Agile Methodologies - Theory,4,5,65,Text,2,9.0,10.0,10.0,9.1,21,9.1
Marine Biology - Theory,4,7,68,Practical,4,8.9,10.0,9.8,9.0,26,2.0
Virtual Reality Ethics - Advanced,9,8,119,Video,10,6.7,10.0,10.0,9.7,10,0.0
Bioinformatics - Applications,6,7,91,Practical,4,7.9,10.0,10.0,9.4,30,0.0
3D Animation - Intro,5,6,77,Video,1,8.4,10.0,10.0,9.1,19,9.0
Alien Anthropology - Intro,8,5,112,Text,5,8.7,10.0,9.7,8.7,24,24.1
Lunar Architecture - Concepts,6,5,91,Audio,8,6.8,10.0,9.7,9.0,23,14.5
Game Development - Intro,3,5,55,Practical,3,9.0,10.0,10.0,8.7,30,17.5
Internet of Things - Lab,3,7,56,Practical,5,8.7,10.0,9.4,8.2,22,20.1
Quantum Entanglement - Advanced,7,8,100,Practical,7,6.9,10.0,10.0,8.9,17,20.0
Moral Philosophy - Intro,4,8,77,Video,4,7.9,10.0,9.9,8.6,13,19.1
Game Development - Workshop,8,7,114,Video,10,7.0,10.0,10.0,8.6,8,18.4
Agile Methodologies - Intro,3,7,57,Practical,4,8.5,10.0,10.0,9.2,25,7.0
Creative Writing - Applications,5,6,75,Video,7,7.3,10.0,9.1,8.2,21,8.7
Geospatial Analysis - Concepts,5,9,78,Practical,7,7.6,10.0,8.9,7.9,7,11.2
Mathematical Music Theory - Advanced,6,9,97,Video,7,7.8,10.0,9.0,8.1,28,14.7
Metallurgy - Theory,3,5,59,Text,1,9.0,10.0,10.0,9.5,26,16.5
Logic Circuits - Advanced,8,8,110,Video,10,7.2,10.0,10.0,8.9,30,6.3
Internet of Things - Applications,8,5,105,Video,6,7.4,10.0,9.8,8.8,25,17.3
Logic Circuits - Concepts,3,8,60,Video,5,8.6,10.0,9.7,8.4,23,18.0
Molecular Biology - Workshop,9,8,112,Video,10,7.5,10.0,10.0,9.4,7,10.3
Biomechanics - Theory,7,6,93,Practical,7,7.7,10.0,9.6,8.3,12,18.8
Philosophy of Mind - Applications,7,7,100,Video,7,8.2,10.0,10.0,8.4,13,9.7
Forensic Science - Lab,7,7,101,Video,8,7.0,10.0,10.0,9.2,20,14.6
Biomechanics - Lab,9,7,117,Practical,9,6.9,10.0,9.9,9.1,30,15.9
Urban Planning - Advanced,3,9,61,Practical,5,8.3,10.0,10.0,8.9,7,15.0
Mathematical Music Theory - Theory,6,7,83,Text,5,8.1,10.0,10.0,8.9,21,15.3
Photosynthesis - Applications,9,9,118,Audio,9,6.5,10.0,10.0,9.6,22,6.3
Interstellar Politics - Workshop,8,5,106,Video,5,7.5,10.0,10.0,8.7,11,11.6
Phonetics - Theory,6,9,89,Practical,7,7.9,10.0,10.0,9.5,11,8.4
Synthetic Biology - Advanced,6,8,88,Audio,4,8.7,9.5,9.4,8.2,28,19.1
Logic Circuits - Theory,9,6,131,Video,10,5.7,10.0,10.0,9.6,25,0.9
Antimatter - Lab,6,6,85,Practical,4,8.7,10.0,9.9,9.1,17,11.8
Ethical Hacking - Applications,5,8,79,Practical,7,7.6,10.0,9.3,8.0,7,24.2
Digital Marketing - Intro,3,5,73,Video,5,7.7,10.0,9.6,8.8,21,12.9
Pharmacology - Lab,4,6,73,Video,8,7.3,10.0,10.0,8.7,25,14.6
Cultural Studies - Concepts,3,8,59,Audio,6,7.2,10.0,10.0,9.0,14,7.7
Logic Circuits - Workshop,6,6,94,Audio,5,7.8,10.0,10.0,9.0,16,9.3
Metallurgy - Advanced,5,9,83,Audio,6,7.3,10.0,10.0,9.1,21,6.0
Artificial Consciousness - Intro,5,6,74,Video,3,9.0,10.0,9.8,9.1,25,4.1
Biomechanics - Advanced,3,9,52,Video,8,6.9,10.0,9.6,8.1,29,13.9
Sustainable Agriculture - Applications,4,9,70,Practical,5,7.8,10.0,10.0,9.0,15,11.2
Political Philosophy - Workshop,9,6,117,Practical,10,6.2,10.0,10.0,9.5,14,9.2
Quantum Entanglement - Intro,9,6,131,Practical,6,8.1,10.0,10.0,8.8,11,12.9
Compiler Design - Theory,6,9,95,Audio,10,6.8,10.0,9.2,8.6,19,18.8
Metallurgy - Advanced,5,6,85,Video,4,8.1,10.0,9.4,8.4,17,15.9
Zero-Gravity Engineering - Workshop,6,5,78,Audio,4,8.5,9.3,9.7,9.1,17,12.1
Cellular Automata - Advanced,6,7,87,Text,5,6.6,10.0,10.0,9.3,30,10.2
Digital Marketing - Intro,8,7,109,Video,6,7.3,10.0,9.9,8.9,20,10.6
Quantum Theology - Lab,6,8,86,Practical,7,8.0,10.0,10.0,8.9,7,1.0
Psychoacoustics - Concepts,7,7,96,Video,5,7.9,10.0,10.0,9.4,24,8.0
Antimatter - Theory,8,5,108,Video,4,7.7,10.0,10.0,9.0,19,5.7
Evolutionary Biology - Workshop,6,7,90,Text,4,9.0,10.0,10.0,9.5,25,3.0
Geospatial Analysis - Applications,6,7,103,Practical,10,5.7,10.0,10.0,8.7,10,21.6
Geospatial Analysis - Applications,4,5,66,Video,2,8.3,10.0,10.0,9.0,7,12.6
Interstellar Politics - Lab,9,9,124,Video,9,6.4,10.0,10.0,9.0,30,7.1
Syntax and Semantics - Theory,8,7,117,Video,5,7.6,10.0,9.9,9.2,22,10.5
Behavioral Neuroscience - Workshop,9,8,115,Video,9,7.5,10.0,9.7,8.9,10,10.2
Biomechanics - Intro,8,7,120,Audio,7,7.3,10.0,9.5,8.2,13,13.7
Remote Sensing - Lab,4,7,71,Video,8,8.3,10.0,10.0,8.9,16,7.8
Visual Perception - Concepts,7,5,87,Video,5,7.0,10.0,10.0,8.7,8,16.7
Evolutionary Biology - Theory,8,5,116,Practical,7,7.9,10.0,10.0,9.2,12,9.1
Blockchain Security - Theory,7,8,91,Audio,9,6.6,10.0,9.7,8.8,15,5.7
Behavioral Neuroscience - Intro,6,6,97,Text,5,7.8,10.0,9.5,8.4,13,18.3
3D Animation - Applications,5,5,84,Video,5,7.8,10.0,9.6,8.7,13,11.5
AI Narratives - Theory,5,6,74,Video,2,8.8,10.0,10.0,8.9,25,9.5
Creative Writing - Theory,3,8,58,Audio,6,8.1,10.0,10.0,9.2,13,12.9
Biomechanics - Advanced,5,7,83,Text,6,7.4,10.0,9.5,8.9,22,15.0
Cognitive Robotics - Concepts,5,7,77,Video,4,8.3,10.0,10.0,8.9,29,11.7
Marine Biology - Applications,4,6,78,Text,2,9.0,10.0,10.0,9.4,24,9.4
